2020-01-25 22:44:17.344571:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_44_17.png---
2020-01-25 22:51:54.672341:	C
2020-01-25 22:52:08.640347:	--PROGRAM STARTED--
2020-01-25 22:52:08.827805:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_52_08.png---
2020-01-25 22:52:11.516314:	  
2020-01-25 22:52:11.594249:	 
2020-01-25 22:52:14.344398:	K
2020-01-25 22:52:14.516162:	 
2020-01-25 22:52:17.943766:	O
2020-01-25 22:52:19.175738:	¢
2020-01-25 22:52:19.504139:	¢
2020-01-25 22:52:19.722829:	¢
2020-01-25 22:52:19.925621:	¢
2020-01-25 22:52:20.097634:	¢
2020-01-25 22:52:21.547809:	¢
2020-01-25 22:52:23.985449:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_52_23.png---
2020-01-25 22:52:24.470033:	1
2020-01-25 22:52:25.344961:	2
2020-01-25 22:52:25.672565:	3
2020-01-25 22:52:25.797819:	4
2020-01-25 22:52:28.421917:	4
2020-01-25 22:52:31.749571:	Û
2020-01-25 22:52:34.629380:	 
2020-01-25 22:52:34.691815:	 
2020-01-25 22:52:37.204575:	Û
2020-01-25 22:52:38.329471:	'
2020-01-25 22:52:39.163092:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_52_38.png---
2020-01-25 22:52:40.955993:	<BACKSPACE>
2020-01-25 22:52:42.406500:	 
2020-01-25 22:52:54.328204:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_52_54.png---
2020-01-25 22:52:55.828307:	<BACKSPACE>
2020-01-25 22:52:59.411392:	¾
2020-01-25 22:53:11.047585:	--PROGRAM STARTED--
2020-01-25 22:53:11.219455:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_53_11.png---
2020-01-25 22:53:22.502638:	.
2020-01-25 22:53:22.768214:	.
2020-01-25 22:53:23.096304:	.
2020-01-25 22:53:26.376147:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_53_26.png---
2020-01-25 22:53:35.077414:	.
2020-01-25 22:53:40.251553:	½
2020-01-25 22:53:55.125706:	--PROGRAM STARTED--
2020-01-25 22:53:55.313196:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_53_55.png---
2020-01-25 22:53:57.750133:	 -
2020-01-25 22:53:57.937894:	 
2020-01-25 22:54:00.968089:	-
2020-01-25 22:54:01.077760:	 
2020-01-25 22:54:01.733544:	-
2020-01-25 22:54:02.030341:	-
2020-01-25 22:54:02.218082:	-
2020-01-25 22:54:09.499874:	-
2020-01-25 22:54:10.499324:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_54_10.png---
2020-01-25 22:54:14.126111:	-
2020-01-25 22:54:14.407290:	-
2020-01-25 22:54:14.672900:	-
2020-01-25 22:54:14.860293:	 
2020-01-25 22:54:15.125884:	-
2020-01-25 22:54:15.406733:	-
2020-01-25 22:54:15.641094:	-
2020-01-25 22:54:15.735054:	 
2020-01-25 22:54:15.938176:	-
2020-01-25 22:54:16.188137:	-
2020-01-25 22:54:16.203642:	 
2020-01-25 22:54:16.406801:	-
2020-01-25 22:54:16.672498:	-
2020-01-25 22:54:16.859819:	-
2020-01-25 22:54:16.984816:	-
2020-01-25 22:54:17.078625:	 
2020-01-25 22:54:17.234684:	-
2020-01-25 22:54:17.484617:	-
2020-01-25 22:54:17.656504:	-
2020-01-25 22:54:17.906599:	-
2020-01-25 22:54:25.675528:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_54_25.png---
2020-01-25 22:54:28.142984:	-
2020-01-25 22:54:35.102883:	»
2020-01-25 22:56:46.868694:	--PROGRAM STARTED--
2020-01-25 22:56:47.056146:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_56_46.png---
2020-01-25 22:56:53.635790:	Þ
2020-01-25 22:56:53.857919:	¢
2020-01-25 22:57:00.650676:	--PROGRAM STARTED--
